#	Profile	1	at	0.00%
	3.60290715	2.19249971	23.2194074	
	3.60246722	2.19133177	23.2195725	
	3.60196113	2.19016541	23.2197457	
	3.60139069	2.18900474	23.2199263	
	3.60075793	2.18785386	23.2201136	
	3.60006508	2.18671682	23.2203072	
	3.59931461	2.18559764	23.2205062	
	3.59850918	2.18450027	23.22071	
	3.59765163	2.18342858	23.2209179	
	3.59674502	2.18238636	23.2211291	
	3.59352547	2.17883044	23.2218656	
	3.58863912	2.17342598	23.222984	
	3.58209945	2.16617638	23.2244821	
	3.5739238	2.15707937	23.226358	
	3.56413729	2.14612839	23.2286089	
	3.55276779	2.13331859	23.2312314	
	3.53984401	2.11864869	23.2342217	
	3.52539549	2.10211757	23.2375753	
	3.50946943	2.08371252	23.2412864	
	3.49208286	2.06345894	23.2453494	
	3.47320022	2.04142829	23.2497612	
	3.45293804	2.01754151	23.254511	
	3.43135518	1.991795	23.2595895	
	3.40849578	1.96418808	23.2649892	
	3.3844186	1.93472036	23.2706995	
	3.35909412	1.90347501	23.2767141	
	3.33260402	1.87041482	23.283021	
	3.30503828	1.83552889	23.2896068	
	3.27644314	1.79881911	23.2964582	
	3.24678153	1.76039825	23.303564	
	3.2160914	1.72026712	23.310912	
	3.18451865	1.67837806	23.3184761	
	3.15211523	1.63474067	23.3262382	
	3.11852723	1.58973039	23.3342124	
	3.08415845	1.54305968	23.3423508	
	3.04907213	1.4947417	23.3506256	
	3.01311273	1.44497222	23.3590302	
	2.97642211	1.39370513	23.3675411	
	2.93914529	1.34089236	23.3761272	
	2.90127077	1.28661888	23.3847723	
	2.86288098	1.23089458	23.3934506	
	2.82398033	1.17378781	23.4021443	
	2.78401491	1.11580313	23.4109	
	2.74356954	1.05656917	23.4196472	
	2.7027178	0.996117415	23.4283531	
	2.66120539	0.934690342	23.4370309	
	2.61942285	0.872095006	23.4456178	
	2.57751581	0.808322791	23.4540791	
	2.53528619	0.743565426	23.4624173	
	2.4923322	0.678219483	23.4708031	
	2.44885959	0.612227758	23.4792161	
	2.40508462	0.545505376	23.4874836	
	2.36058264	0.478411874	23.4956413	
	2.31598594	0.410605482	23.5035951	
	2.27139819	0.342109593	23.5113169	
	2.22656766	0.273170565	23.5188304	
	2.18192859	0.203598963	23.5260632	
	2.13715404	0.133700692	23.5330524	
	2.09208048	0.063671237	23.5398133	
	2.04669525	-0.006392467	23.5463404	
	2.00142601	-0.076673058	23.5525674	
	1.95608203	-0.146969092	23.5585108	
	1.91095176	-0.21736231	23.5641231	
	1.86606107	-0.287783109	23.5693948	
	1.82139712	-0.358134935	23.5743275	
	1.77700282	-0.428333344	23.5789182	
	1.73291796	-0.498338268	23.5831667	
	1.68902899	-0.567997482	23.5870984	
	1.64502286	-0.63723051	23.5907524	
	1.6013978	-0.70577769	23.5940822	
	1.55800192	-0.773721652	23.5972319	
	1.51502129	-0.8410715	23.600224	
	1.47242364	-0.907722111	23.603041	
	1.43032831	-0.973665011	23.6056715	
	1.38861047	-1.03874143	23.6081387	
	1.34729239	-1.10288325	23.6104439	
	1.30659145	-1.16613576	23.6125665	
	1.26638605	-1.22834548	23.6145498	
	1.2267805	-1.28949969	23.6163605	
	1.18786999	-1.3495751	23.6179849	
	1.14962372	-1.40847671	23.6194365	
	1.11211169	-1.46616888	23.6207145	
	1.07519067	-1.52249815	23.6218541	
	1.03884843	-1.57737524	23.6228715	
	1.00333482	-1.63088677	23.6237392	
	0.968623839	-1.68294614	23.6244769	
	0.934761082	-1.7335134	23.6250926	
	0.901846826	-1.7825843	23.6255855	
	0.869927038	-1.8301239	23.625964	
	0.839088385	-1.87612441	23.6262296	
	0.809261948	-1.92048469	23.6264102	
	0.780493146	-1.96317615	23.6265146	
	0.752672314	-2.00407615	23.626576	
	0.725828756	-2.04314954	23.6266123	
	0.700128929	-2.0804487	23.6266174	
	0.675600212	-2.11594257	23.6265895	
	0.65219232	-2.14955395	23.6265453	
	0.629928254	-2.18125469	23.6264926	
	0.608929298	-2.21107672	23.6264198	
	0.58921707	-2.23900039	23.626332	
	0.570813395	-2.26500148	23.6262345	
	0.553731921	-2.28905336	23.6261331	
	0.537999388	-2.31114279	23.6260304	
	0.52364756	-2.33126282	23.6259271	
	0.510689286	-2.34939596	23.625827	
	0.499138103	-2.36552749	23.6257331	
	0.489009345	-2.37964645	23.6256473	
	0.480317657	-2.39174392	23.6255711	
	0.473075823	-2.40181246	23.6255057	
	0.467293621	-2.40984555	23.6254521	
	0.462978159	-2.41583766	23.6254113	
	0.460137609	-2.41978034	23.625384	
	0.459294187	-2.42090143	23.6253809	
	0.45840961	-2.42198128	23.6253875	
	0.457487293	-2.4230157	23.6254037	
	0.456530794	-2.42400072	23.6254295	
	0.455543805	-2.42493255	23.6254648	
	0.454530132	-2.42580759	23.6255094	
	0.453493687	-2.42662248	23.6255632	
	0.452438465	-2.4273741	23.6256261	
	0.451368536	-2.42805954	23.6256977	
	0.450288023	-2.4286762	23.6257778	
	0.449201093	-2.42922169	23.6258661	
	0.448111933	-2.42969394	23.6259622	
	0.447024741	-2.43009113	23.6260658	
	0.445943704	-2.43041176	23.6261765	
	0.444872987	-2.4306546	23.6262939	
	0.443816712	-2.43081873	23.6264174	
	0.442778947	-2.43090355	23.6265468	
	0.441763688	-2.43090873	23.6266813	
	0.440774841	-2.43083427	23.6268205	
	0.439816212	-2.43068048	23.626964	
	0.438891491	-2.43044795	23.627111	
	0.438004236	-2.43013761	23.627261	
	0.437157858	-2.42975065	23.6274136	
	0.436355614	-2.42928857	23.6275679	
#	Profile	6	at	100%
	0.639089285	-2.51258719	25.1066809	
	0.638477365	-2.51220606	25.1068797	
	0.637901407	-2.5117647	25.1070751	
	0.637363676	-2.51126485	25.1072663	
	0.636866289	-2.51070848	25.1074526	
	0.636411204	-2.51009779	25.1076331	
	0.636000212	-2.50943516	25.1078073	
	0.635634929	-2.50872321	25.1079743	
	0.635316793	-2.50796475	25.1081336	
	0.635047056	-2.50716275	25.1082846	
	0.63482678	-2.50632037	25.1084265	
	0.634656832	-2.50544092	25.1085589	
	0.63453788	-2.50452787	25.1086812	
	0.634470393	-2.50358481	25.108793	
	0.634454636	-2.50261543	25.1088938	
	0.634490672	-2.50162356	25.1089832	
	0.634578358	-2.5006131	25.1090608	
	0.634717352	-2.49958802	25.1091264	
	0.634907104	-2.49855236	25.1091796	
	0.635146871	-2.49751019	25.1092203	
	0.635435707	-2.4964656	25.1092484	
	0.635772477	-2.49542271	25.1092636	
	0.636155857	-2.49438562	25.109266	
	0.636584336	-2.49335841	25.1092555	
	0.63705623	-2.49234513	25.1092322	
	0.639199428	-2.4879755	25.1091028	
	0.642455311	-2.48133952	25.1089044	
	0.646820723	-2.47244631	25.1086346	
	0.652292701	-2.46130459	25.1082903	
	0.658865205	-2.44792399	25.1078685	
	0.666527906	-2.43231433	25.1073666	
	0.675268321	-2.41448683	25.1067818	
	0.68507629	-2.39445662	25.1061094	
	0.695943479	-2.37224251	25.1053436	
	0.707868911	-2.34786999	25.1044753	
	0.720887105	-2.32138642	25.1034833	
	0.734988493	-2.29281705	25.1023598	
	0.750087742	-2.26214794	25.1011203	
	0.766180412	-2.2294124	25.0997539	
	0.783239744	-2.19463375	25.0982563	
	0.8013671	-2.15790835	25.0965822	
	0.82055698	-2.11927563	25.0947197	
	0.840672136	-2.07870483	25.092698	
	0.861687021	-2.03622897	25.0905108	
	0.8835992	-1.99189617	25.0881439	
	0.906395298	-1.94575053	25.0855861	
	0.930024631	-1.89781766	25.082839	
	0.954472352	-1.84814493	25.0798922	
	0.979570787	-1.7966981	25.076783	
	1.00540204	-1.74358162	25.0734705	
	1.03195691	-1.68885171	25.0699427	
	1.05930602	-1.63260987	25.0661626	
	1.08741427	-1.57490154	25.0621268	
	1.11616871	-1.51573146	25.057856	
	1.14559822	-1.45518331	25.0533273	
	1.17565116	-1.39329841	25.0485431	
	1.2062772	-1.33012029	25.0435055	
	1.23738019	-1.26566906	25.038231	
	1.26899407	-1.20003679	25.032697	
	1.3011834	-1.13333342	25.026872	
	1.33412824	-1.06573249	25.0206911	
	1.36750166	-0.997134141	25.0142424	
	1.40135716	-0.927645583	25.0074995	
	1.43561704	-0.857303855	25.0004772	
	1.47025351	-0.786174027	24.9931758	
	1.50525848	-0.714332116	24.9855903	
	1.54057261	-0.641829564	24.9777318	
	1.57648397	-0.568901757	24.96951	
	1.61267359	-0.49544937	24.9610164	
	1.64915763	-0.421579636	24.9522249	
	1.68588246	-0.347348279	24.943115	
	1.7227117	-0.27276295	24.9337235	
	1.75955663	-0.197871253	24.9240726	
	1.79657329	-0.122828503	24.9141164	
	1.83389536	-0.047802209	24.9038166	
	1.871332	0.0272281	24.8932283	
	1.90915893	0.102021814	24.8822756	
	1.94708453	0.176655221	24.8710442	
	1.98504219	0.251079958	24.8595566	
	2.02300763	0.325224397	24.8478243	
	2.06064236	0.399197638	24.8359472	
	2.09764777	0.47309113	24.824013	
	2.13459159	0.546500837	24.8118705	
	2.17135885	0.619400154	24.7995593	
	2.20822276	0.691556111	24.7870136	
	2.24717925	0.761690313	24.7737037	
	2.28597297	0.831042215	24.760258	
	2.32493414	0.899329089	24.7465999	
	2.36378246	0.966631014	24.7328182	
	2.40201383	1.03317775	24.719059	
	2.43938501	1.09906179	24.7053994	
	2.47654182	1.16379853	24.691709	
	2.51428324	1.2267985	24.6777837	
	2.55191584	1.28841069	24.6638213	
	2.58933077	1.34862972	24.6498685	
	2.62723707	1.40688648	24.6357702	
	2.66470169	1.46374481	24.6217791	
	2.7017082	1.51911109	24.6079204	
	2.73822275	1.57295158	24.5942194	
	2.77422137	1.6252044	24.5806968	
	2.8098132	1.67571471	24.5673458	
	2.84500619	1.72441897	24.554182	
	2.87955132	1.77140033	24.5412815	
	2.91345615	1.81659985	24.5286578	
	2.9467676	1.85990866	24.5163164	
	2.97930724	1.90139524	24.5043119	
	3.01101473	1.94104217	24.4926717	
	3.04199917	1.97869974	24.4813862	
	3.07215644	2.01438507	24.4704893	
	3.10131772	2.04817382	24.4600256	
	3.12941924	2.08006411	24.4500159	
	3.15653308	2.10993662	24.4404547	
	3.18265385	2.13774161	24.4313508	
	3.20752827	2.16364315	24.4227553	
	3.23109194	2.18765505	24.4146819	
	3.25327602	2.20979825	24.4071439	
	3.27404945	2.23006298	24.4001476	
	3.29341594	2.24841033	24.3936921	
	3.31125862	2.264916	24.3877959	
	3.32746718	2.27965805	24.3824763	
	3.34200275	2.29265329	24.377738	
	3.3548159	2.30393191	24.3735868	
	3.36586089	2.31352468	24.3700276	
	3.37510101	2.3214562	24.3670639	
	3.38250845	2.32774453	24.364698	
	3.38805661	2.33240928	24.3629323	
	3.39172499	2.33547209	24.3617678	
	3.39265919	2.33621759	24.3614747	
	3.39361671	2.33691755	24.3611804	
	3.39459408	2.33756946	24.3608862	
	3.39558776	2.33817096	24.3605929	
	3.39659412	2.33871993	24.3603018	
	3.39760954	2.3392144	24.3600138	
	3.39863034	2.33965264	24.3597301	
	3.39965282	2.34003312	24.3594516	
	3.40067331	2.34035452	24.3591793	
	3.40168812	2.34061575	24.3589142	
	3.40269361	2.34081594	24.3586572	
	3.40368616	2.34095446	24.3584094	
	3.40466222	2.34103088	24.3581714	
	3.4056183	2.34104503	24.3579443	
	3.40655098	2.34099693	24.3577288	
	3.40745693	2.34088686	24.3575256	
	3.40833294	2.3407153	24.3573354	
	3.40917589	2.34048296	24.3571589	
	3.4099828	2.34019078	24.3569968	
	3.4107508	2.33983987	24.3568495	
	3.4114772	2.3394316	24.3567175	
	3.41215943	2.33896749	24.3566014	
	3.4127951	2.3384493	24.3565014	
	3.41338197	2.33787893	24.356418	
	3.413918	2.3372585	24.3563513	
	3.4144013	2.33659028	24.3563017	
	3.4148302	2.33587669	24.3562691	
	3.41520321	2.33512033	24.3562539	
	3.41551903	2.33432391	24.3562558	
	3.4157766	2.33349031	24.3562751	
	3.41597501	2.3326225	24.3563115	
	3.4161136	2.33172358	24.3563649	
	3.4161919	2.33079674	24.3564352	
	3.41620966	2.32984526	24.3565221	
	3.41616684	2.32887251	24.3566252	
	3.4160636	2.3278819	24.3567442	
	3.41590032	2.32687694	24.3568787	
	3.41567759	2.32586113	24.3570281	
	3.41539621	2.32483805	24.357192	
	3.41505717	2.32381127	24.3573698	
	3.41466167	2.32278438	24.3575609	
	3.41421111	2.32176098	24.3577645	
	3.41370708	2.32074463	24.35798	
	3.41315135	2.31973888	24.3582067	
	3.41254589	2.31874725	24.3584436	
	3.41189282	2.31777321	24.3586901	
	3.41119444	2.31682015	24.3589453	
	3.41045321	2.31589142	24.3592083	
	3.40742083	2.31224047	24.3602701	
	3.40283202	2.30669661	24.3618792	
	3.39670189	2.29925226	24.3640331	
	3.38905668	2.28989868	24.3667271	
	3.37993225	2.27862191	24.3699547	
	3.36936793	2.26540916	24.3737082	
	3.35740442	2.25025068	24.3779795	
	3.34408438	2.23313843	24.3827595	
	3.32947185	2.21404805	24.3880352	
	3.31356383	2.19301982	24.3938037	
	3.29635219	2.17009852	24.4000629	
	3.27795414	2.1452174	24.4067891	
	3.25845341	2.11834524	24.413964	
	3.23789769	2.08948735	24.4215748	
	3.21633861	2.05864911	24.4296062	
	3.19363751	2.02599365	24.4380776	
	3.16990028	1.99147948	24.4469642	
	3.1453092	1.95500253	24.4562251	
	3.11990505	1.91658588	24.4658429	
	3.09362011	1.87633778	24.4758211	
	3.066448	1.83431578	24.4861516	
	3.03859118	1.79041871	24.4967817	
	3.01007807	1.74468495	24.5076924	
	2.9808171	1.69724429	24.5188904	
	2.95093138	1.64806156	24.5303364	
	2.92051333	1.59714843	24.5419933	
	2.88938706	1.54467027	24.553887	
	2.85762816	1.49065375	24.5659858	
	2.82541495	1.43503613	24.5782332	
	2.79278546	1.37785613	24.5906041	
	2.75977713	1.31917665	24.603072	
	2.72642198	1.25901839	24.615614	
	2.69184457	1.19805568	24.6284324	
	2.65681479	1.13583231	24.6413264	
	2.62127683	1.07246176	24.6542938	
	2.5845905	1.00841453	24.6674862	
	2.54760834	0.943228398	24.6806694	
	2.51101719	0.876547267	24.6936453	
	2.47460869	0.808602428	24.7064488	
	2.43792917	0.739756019	24.7191879	
	2.40075091	0.670223456	24.7319271	
	2.36344238	0.59986003	24.7445288	
	2.32379321	0.530045979	24.7575926	
	2.28383993	0.459647244	24.7705527	
	2.24391156	0.388567759	24.7833084	
	2.20392773	0.316931391	24.7958731	
	2.16449924	0.244480414	24.8080663	
	2.12537089	0.171453461	24.8199511	
	2.08624794	0.098107378	24.8316046	
	2.04715022	0.024518578	24.8430162	
	2.00805573	-0.049213104	24.8541881	
	1.96871809	-0.122863152	24.8651888	
	1.92945845	-0.196524099	24.875924	
	1.89013211	-0.270027648	24.8864348	
	1.85091475	-0.343391464	24.8966703	
	1.81201726	-0.416628452	24.9065702	
	1.77339717	-0.489639304	24.9161481	
	1.73496714	-0.562287097	24.9254327	
	1.69673566	-0.634487098	24.9344252	
	1.65875984	-0.706197545	24.9431139	
	1.62076588	-0.777176062	24.9515843	
	1.5830991	-0.847519435	24.9597661	
	1.54576264	-0.917144742	24.967694	
	1.50880114	-0.985993528	24.9753587	
	1.47224157	-1.05399883	24.9827608	
	1.43606132	-1.1210678	24.989915	
	1.40037002	-1.18718019	24.9967978	
	1.36489698	-1.25211096	25.0035008	
	1.32987852	-1.31591086	25.0099628	
	1.29543636	-1.37856982	25.0161584	
	1.26166166	-1.44006263	25.0220714	
	1.22851557	-1.5002949	25.0277258	
	1.19600507	-1.55919858	25.0331317	
	1.1641358	-1.61670642	25.0383007	
	1.1329937	-1.67279657	25.0432192	
	1.10252261	-1.72737137	25.0479185	
	1.07274379	-1.78037707	25.052406	
	1.04378361	-1.83181918	25.0566563	
	1.01568801	-1.88166128	25.0606692	
	0.988593347	-1.92991847	25.0644161	
	0.962385405	-1.97647062	25.0679473	
	0.937101627	-2.02128259	25.0712656	
	0.912742305	-2.06430091	25.0743853	
	0.88934418	-2.10549426	25.0773093	
	0.866952914	-2.14483861	25.0800365	
	0.845589774	-2.1822985	25.0825747	
	0.825162708	-2.21777823	25.084967	
	0.80570947	-2.25125588	25.087215	
	0.787372819	-2.28277005	25.0892863	
	0.770165219	-2.31228985	25.0911893	
	0.754119297	-2.33979794	25.0929256	
	0.739184352	-2.36523328	25.0945228	
	0.725383276	-2.3885777	25.0959842	
	0.71278096	-2.40983899	25.0972993	
	0.701404507	-2.42900677	25.0984686	
	0.691270484	-2.44606731	25.0994952	
	0.682390804	-2.46100672	25.1003832	
	0.674772637	-2.47381099	25.1011368	
	0.66842265	-2.4844684	25.1017598	
	0.663348972	-2.49297065	25.1022545	
	0.659559963	-2.49931217	25.1026223	
	0.657063565	-2.50348665	25.1028638	
	0.656471117	-2.50443314	25.1029253	
	0.655843771	-2.50534994	25.102999	
	0.655183999	-2.50623343	25.1030845	
	0.654494399	-2.50708014	25.1031815	
	0.653777687	-2.50788673	25.1032896	
	0.653036688	-2.50865003	25.1034083	
	0.652274318	-2.50936704	25.1035372	
	0.651493582	-2.51003493	25.1036759	
	0.650697554	-2.51065107	25.1038237	
	0.649889369	-2.51121305	25.1039801	
	0.649072209	-2.51171865	25.1041444	
	0.648249294	-2.5121659	25.1043161	
	0.647423862	-2.51255302	25.1044944	
	0.646599166	-2.51287851	25.1046786	
	0.645778451	-2.51314108	25.1048681	
	0.64496495	-2.5133397	25.105062	
	0.644161866	-2.5134736	25.1052597	
	0.64337236	-2.51354226	25.1054602	
	0.642599541	-2.51354541	25.105663	
	0.641846453	-2.51348304	25.1058671	
	0.641116059	-2.5133554	25.1060717	
	0.640411235	-2.51316299	25.1062761	
	0.639734756	-2.51290658	25.1064794	
	0.639089285	-2.51258719	25.1066809	
